id	reason
rxn06586	MI
rxn06590	MI
rxn06591	MI
rxn06592	Abstract
rxn06593	MI
rxn06594	MI
rxn06595	Abstract
rxn06596	Abstract
rxn06597	Abstract
rxn06600	Abstract
rxn06601	Abstract
rxn06602	Abstract
rxn06604	Abstract
rxn06608	Abstract
rxn06609	MI
rxn06610	Abstract
rxn06612	MI
rxn06613	MI
rxn06614	Abstract
rxn06615	Abstract
rxn06616	Abstract
rxn06618	MI
rxn06619	MI
rxn06620	MI
rxn06621	MI
rxn06623	MI
rxn06624	Abstract
rxn06626	Abstract
rxn06627	MI
rxn06628	MI
rxn06629	MI
rxn06630	Abstract
rxn06632	MI
rxn06633	Abstract
rxn06636	Abstract
rxn06638	CI
rxn06640	Abstract
rxn06641	Abstract
rxn06643	OBS
rxn06644	MI
rxn06645	Abstract
rxn06646	MI
rxn06647	Abstract
rxn06648	Abstract
rxn06649	Abstract
rxn06651	MI
rxn06652	Abstract
rxn06653	Abstract
rxn06654	MI
rxn06659	MI
rxn06660	Abstract
rxn06663	Abstract
rxn06664	Abstract
rxn06665	Abstract
rxn06666	Abstract
rxn06667	MI
rxn06668	MI
rxn06669	MI
